fecha,producto,categoria,cantidad,precio_unitario
2025-01-01,Nevera,Electrodomésticos,2,1200000
2025-01-02,Lavadora,Electrodomésticos,1,800000
2025-01-03,Licuadora,Electrodomésticos,5,150000
2025-01-05,Televisor,Electrónica,3,2500000
2025-01-07,Computador,Electrónica,2,3500000
2025-01-10,Lavadora,Electrodomésticos,2,800000
2025-01-12,Microondas,Electrodomésticos,4,350000
2025-01-15,Tablet,Electrónica,3,800000
2025-01-18,Nevera,Electrodomésticos,1,1200000
2025-01-20,Auriculares,Electrónica,10,80000
2025-02-02,Televisor,Electrónica,2,2500000
2025-02-05,Licuadora,Electrodomésticos,3,150000
2025-02-08,Computador,Electrónica,1,3500000
2025-02-10,Lavadora,Electrodomésticos,3,800000
2025-02-12,Microondas,Electrodomésticos,2,350000
2025-02-15,Tablet,Electrónica,4,800000
2025-02-18,Auriculares,Electrónica,8,80000
2025-02-20,Televisor,Electrónica,3,2500000
2025-03-02,Nevera,Electrodomésticos,2,1200000
2025-03-05,Lavadora,Electrodomésticos,2,800000
2025-03-08,Licuadora,Electrodomésticos,6,150000
2025-03-10,Computador,Electrónica,2,3500000
2025-03-12,Microondas,Electrodomésticos,3,350000
